formula,ehull,hform,gap_pbe,magnetic,layergroup,uid,gap_gw,gap_dir_gw,E_B,gap_dir_pbe
Tl2Br2,0.115,-0.764,2.413,No,p4/nmm,Br2Tl2-495c0ec26ef4,,,1.307,2.502
As4,0.042,0.042,0.835,No,pman,As4-ff6eb167410f,1.797,1.837,0.566,0.886
C2F2,0.285,-0.912,3.165,No,p-3m1,C2F2-02ae369021e9,7.198,7.198,1.940,3.165
H2C2,0.004,-0.134,3.460,No,p-3m1,C2H2-1b265530a869,6.416,6.416,1.387,3.460
P4,0.039,0.039,0.903,No,pman,P4-276f0a298324,2.025,2.025,0.624,0.903
TiBr2,0.033,-1.145,0.758,No,p-6m2,TiBr2-57116f9a9a4e,1.421,1.649,0.591,0.929
TiCl2,0.007,-1.537,0.903,No,p-6m2,TiCl2-95688ba68ca1,1.636,1.854,0.826,1.182
TiI2,0.052,-0.670,0.596,No,p-6m2,TiI2-088e8488f895,1.090,1.331,0.444,0.616
TiO2,0.135,-2.945,2.701,No,p-3m1,TiO2-08ea3807f888,5.752,5.973,1.536,2.870
Cs2Cl2,0.141,-1.853,4.460,No,p4/nmm,Cl2Cs2-e85b67045b23,,,1.829,4.460
TiO2,0.587,-2.493,1.195,No,p-6m2,TiO2-1cfb690281c9,3.915,3.994,1.807,1.354
Cu2Cl2,0.080,-0.371,1.447,No,p4/nmm,Cl2Cu2-820b7699bd43,3.448,3.448,1.581,1.447
TiS2,0.145,-1.164,0.734,No,p-6m2,TiS2-65d41aaec667,2.208,2.663,0.977,1.002
TiSe2,0.126,-1.005,0.522,No,p-6m2,TiSe2-509ef368050d,1.481,2.174,0.716,0.867
In2Cl2,0.133,-0.709,2.298,No,p4/nmm,Cl2In2-9669b3269d2d,,,1.799,2.314
K2Cl2,0.147,-1.836,4.882,No,p4/nmm,Cl2K2-85e2702c201b,,,2.573,4.893
VBr2,0.000,-0.863,1.252,Yes,p-3m1,VBr2-606bfb261671,3.350,3.514,3.292,1.302
VCl2,0.000,-1.174,1.354,Yes,p-3m1,VCl2-1ccb0b28392d,3.459,3.561,3.827,1.413
VI2,0.000,-0.490,1.202,Yes,p-3m1,VI2-d480b343c982,,,2.566,1.221
Rb2Cl2,0.146,-1.823,4.651,No,p4/nmm,Cl2Rb2-c867862764fc,,,2.318,4.651
