i,s,f,e,n,d,g,u,l,m,t,p,w,r,b,fm,fa,fb,k,ku,kl,kw,kr,kd,q,x,o,pm,iv
agm2000001641,0,CrH4,Cr H,10,0.484,-2.295,1.446,0.441,1.0,1,1.0,2,2,1,-1,,,3.95,0.698,0.363,2,0,,,,,0.18,5.864
JVASP-6154,2,ClF,Cl F,4,2.624,-0.445,0.402,0.273,0.3,1,0.85,2,0,0,-1,,,6.549,0.4,0.257,2,0,,,,,0.99,1.444
agm2000117324,0,Li4F5,F Li,9,0.013,-0.281,0.344,0.096,0.99,1,0.48,2,1,0,-1,,,4.738,0.249,0.391,2,0,,,,,1.0,1.235
S2V2-605c732d5111,1,VS,S V,4,0.214,-0.255,0.345,0.264,0.97,1,0.97,2,0,0,-1,,,4.922,0.053,0.179,0,1,5.036,,,,0.65,1.239
agm2000120248,0,Tl6Cl7,Cl Tl,13,0.011,-0.245,0.188,0.258,0.79,1,0.63,2,1,0,-1,,,4.492,0.09,0.323,2,0,,,,,0.99,0.674
RuH2O2-cd1e59aa5b1c,1,H2RuO2,H O Ru,5,0.506,-0.161,0.211,0.255,0.02,1,0.98,2,0,0,-1,,,1.644,0.054,0.069,0,1,1.633,,,,0.88,0.756
agm2000135890,0,Tl2Zn(HS)6,H S Tl Zn,15,0.038,-0.16,0.134,0.166,0.96,1,0.39,2,1,0,-1,,,3.844,0.277,0.221,2,0,,,,,0.57,0.604
agm2000118554,0,Tl6F5,F Tl,11,0.088,-0.158,0.12,0.275,0.57,1,0.46,2,1,0,-1,,,5.734,0.504,0.333,2,0,,,,,0.9,0.543
JVASP-75088,2,Ga2FeS4,Fe Ga S,7,0.014,-0.148,0.415,0.263,0.96,1,0.95,2,0,0,-1,,,5.317,0.167,0.314,2,0,,,,,0.97,1.49
O2Rh2-740bf2751050,1,RhO,O Rh,4,0.067,-0.135,0.18,0.34,0.19,1,0.97,2,0,0,-1,,,6.57,0.059,0.222,0,1,6.506,,,,0.47,0.728
agm2000135185,0,Na2Cd(HS)6,Cd H Na S,15,0.024,-0.129,0.177,0.179,0.99,0,0.31,2,1,0,-1,,,3.39,0.063,0.216,0,0,,,,,0.94,0.636
agm2000135163,0,MgTl2(HS)6,H Mg S Tl,15,0.046,-0.124,0.238,0.172,0.97,1,0.48,2,0,0,-1,,,3.654,0.204,0.228,2,0,,,,,0.63,0.855
agm2000122319,0,NaIn,In Na,8,0.017,-0.118,0.12,0.274,1.0,1,0.86,2,0,0,-1,,,2.756,0.615,0.345,2,0,,,,,0.97,0.542
